item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status
LR004_low,LR004,1,1,repintável,que pode ser repintado,low_re,res,repintável,repintar,pintável,repintar,verb,4,0.127479191,0.602059991,2.1054393,8,low,correct
LR004_high,LR004,1,4,repintável,que é pintável novamente,low_re,res,repintável,repintar,pintável,repintar,verb,4,0.127479191,0.602059991,2.1054393,8,high,incorrect
LR005_low,LR005,3,3,rebobinável,que pode ser rebobinado,low_re,res,rebobinável,rebobinar,bobinável,bobinar,verb,5,0.15934899,0.69897,2.20234931,7,low,correct
LR005_high,LR005,3,2,rebobinável,que é bobinável novamente,low_re,res,rebobinável,rebobinar,bobinável,bobinar,verb,5,0.15934899,0.69897,2.20234931,7,high,incorrect
LR006_low,LR006,1,1,remagnetizável,que pode ser remagnetizado,low_re,res,remagnetizável,remagnetizar,magnetizável,magnetizar,verb,13,0.41430737,1.11394335,2.61732266,10,low,correct
LR006_high,LR006,1,4,remagnetizável,que é magnetizável novamente,low_re,res,remagnetizável,remagnetizar,magnetizável,magnetizar,verb,13,0.41430737,1.11394335,2.61732266,10,high,incorrect
LR007_low,LR007,4,4,reincorporável,que pode ser reincorporado,low_re,res,reincorporável,reincorporar,incorporável,reincorporar,verb,16,0.509916766,1.204119983,2.707499291,12,low,correct
LR007_high,LR007,4,3,reincorporável,que é incorporável novamente,low_re,res,reincorporável,reincorporar,incorporável,reincorporar,verb,16,0.509916766,1.204119983,2.707499291,12,high,incorrect
LR008_low,LR008,2,2,reionizável,que pode ser reionizado,low_re,res,reionizável,reionizar,ionizável,ionizar,verb,19,0.60552616,1.2787536,2.78213291,7,low,correct
LR008_high,LR008,2,1,reionizável,que é ionizável novamente,low_re,res,reionizável,reionizar,ionizável,ionizar,verb,19,0.60552616,1.2787536,2.78213291,7,high,incorrect
LR009_low,LR009,2,2,reempacotável,que pode ser reempacotado,low_re,res,reempacotável,reempacotar,empacotável,empacotar,verb,25,0.79674495,1.39794001,2.90131932,9,low,correct
LR009_high,LR009,2,1,reempacotável,que é empacotável novamente,low_re,res,reempacotável,reempacotar,empacotável,empacotar,verb,25,0.79674495,1.39794001,2.90131932,9,high,incorrect
LR010_low,LR010,4,4,relubrificável,que pode ser relubrificado,low_re,res,relubrificável,relubrificar,lubrificável,lubrificar,verb,26,0.82861474,1.41497335,2.91835266,10,low,correct
LR010_high,LR010,4,3,relubrificável,que é lubrificável novamente,low_re,res,relubrificável,relubrificar,lubrificável,lubrificar,verb,26,0.82861474,1.41497335,2.91835266,10,high,incorrect
LR011_low,LR011,3,3,ressocializável,que pode ser ressocializado,low_re,res,ressocializável,ressocializar,socializável,socializar,verb,28,0.89235434,1.44715803,2.95053734,10,low,correct
LR011_high,LR011,3,2,ressocializável,que é socializável novamente,low_re,res,ressocializável,ressocializar,socializável,socializar,verb,28,0.89235434,1.44715803,2.95053734,10,high,incorrect
LR012_low,LR012,1,1,reunificável,que pode ser reunificado,low_re,res,reunificável,reunificar,unificável,reunificar,verb,33,1.051703329,1.51851394,3.021893249,10,low,correct
LR012_high,LR012,1,4,reunificável,que é unificável novamente,low_re,res,reunificável,reunificar,unificável,reunificar,verb,33,1.051703329,1.51851394,3.021893249,10,high,incorrect
LR013_low,LR013,2,2,reoxigenável,que pode ser reoxigenado,low_re,res,reoxigenável,reoxigenar,oxigenável,oxigenar,verb,41,1.30666171,1.61278386,3.11616317,8,low,correct
LR013_high,LR013,2,1,reoxigenável,que é oxigenável novamente,low_re,res,reoxigenável,reoxigenar,oxigenável,oxigenar,verb,41,1.30666171,1.61278386,3.11616317,8,high,incorrect
