item_id,lexical_item_id,counterbalance_group,version,word,sentence,condition,interpretation,stimulus,low_base,high_base,lemma,lemma_category,freq_ortho,freq_ortho/M,log10_freq_ortho,zipf_scale,length,reading,analysis_status,stimulus_round,trial_role,target_version,experimental_list,filler_rotation,original_version,target_pair_number,target_assignment_method
LD039_low,LD039,1,1,desarrumável,que pode ser desarrumado,low_des,rev,desarrumável,desarrumar,arrumável,arrumar,ver,537,17.11408145,2.729974286,4.233353594,7,low,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
LD047_high,LD047,2,1,desacelerável,que não é acelerável,low_des,rev,desacelerável,desacelerar,acelerável,acelerar,ver,1052,33.52702734,3.02201574,4.525395049,8,high,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
HD005_high,HD005,1,1,desadubável,que não é adubável,high_des,neg,desadubável,,adubável,adubar,ver,22,0.701135553,1.342422681,2.84580199,6,high,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
HD027_low,HD027,2,1,desrespirável,que pode ser desrespirado,high_des,neg,desrespirável,-,respirável,respirar,ver,361,11.50499702,2.557507202,4.060886511,8,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
HD034_high,HD034,1,1,desnarrável,que não é narrável,high_des,neg,desnarrável,-,narrável,narrar,ver,681,21.70333234,2.833147112,4.336526421,6,high,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
HD043_low,HD043,2,1,deseditável,que pode ser deseditado,high_des,neg,deseditável,-,editável,editar,ver,1295,41.27138822,3.112269768,4.615649077,6,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
HD050_high,HD050,1,1,desinterpretável,que não é interpretável,high_des,neg,desinterpretável,-,interpretável,interpretar,ver,1914,60.99879309,3.281941933,4.785321242,11,high,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
HD053_high,HD053,1,1,desacertável,que não é acertável,high_des,neg,desacertável,-,acertável,acertar,ver,2751,87.67381389,3.43949059,4.942869899,7,high,correct,first_round_retest,old_condition_filler,A,A1,1,1,,
HD060_low,HD060,2,1,desacompanhável,que pode ser desacompanhado,high_des,neg,desacompanhável,-,acompanhável,acompanhar,ver,6780,216.0772294,3.831229694,5.334609003,10,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,1,,
HI007_high,HI007,2,2,inalienável,que não é alienável,high_in,neg,inalienável,-,alienável,alienar,verb,112,3.56941736,2.049218023,3.552597331,7,high,correct,first_round_retest,old_condition_filler,A,A1,1,2,,
HI012_high,HI012,2,2,intolerável,que não é tolerável,high_in,neg,intolerável,-,tolerável,tolerar,verb,223,7.106964921,2.348304863,3.851684172,7,high,correct,first_round_retest,old_condition_filler,A,A1,1,2,,
HI023_low,HI023,3,2,inexprimível,que pode ser inexpresso,high_in,neg,inexprimível,-,exprimível,exprimir,verb,417,13.2897057,2.620136055,4.123515364,8,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,2,,
HI027_low,HI027,3,2,imperdoável,que pode ser imperdoado,high_in,neg,imperdoável,-,perdoável,perdoar,verb,516,16.44481569,2.712649702,4.21602901,7,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,2,,
HI045_low,HI045,3,2,indispensável,que pode ser indispensado,high_in,neg,indispensável,-,dispensável,dispensar,verb,1424,45.38259214,3.153509989,4.656889298,9,low,incorrect,first_round_retest,old_condition_filler,A,A1,1,2,,
HI053_high,HI053,2,2,inconvertível,que não é convertível,high_in,neg,inconvertível,-,convertível,converter,verb,2381,75.88198869,3.376759395,4.880138704,9,high,correct,first_round_retest,old_condition_filler,A,A1,1,2,,
LD003_high,LD003,3,2,despareável,que não é pareável,low_des,rev,despareável,desparear,pareável,parear,ver,4,0.127479191,0.602059991,2.1054393,6,high,incorrect,first_round_retest,old_condition_filler,A,A1,1,2,,
LD006_high,LD006,3,2,desabotoável,que não é abotoável,low_des,rev,desabotoável,desabotoar,-,abotoar,ver,15,0.478,1.1761,2.6795,7,high,incorrect,first_round_retest,old_condition_filler,A,A1,1,2,,
LD013_high,LD013,3,2,desacorrentável,que não é acorrentável,low_des,rev,desacorrentável,desacorrentar,-,acorrentar,ver,57,1.816578478,1.755874856,3.259254164,10,high,incorrect,first_round_retest,old_condition_filler,A,A1,1,2,,
LD015_low,LD015,2,2,desencravável,que pode ser desencravado,low_des,rev,desencravável,desencravar,-,encravar,ver,60,1.912187871,1.77815125,3.281530559,8,low,correct,first_round_retest,old_condition_filler,A,A1,1,2,,
LD022_high,LD022,3,2,descompactável,que não é compactável,low_des,rev,descompactável,descompactar,-,compactar,ver,85,2.708932818,1.929418926,3.432798235,9,high,incorrect,first_round_retest,old_condition_filler,A,A1,1,2,,
LD025_low,LD025,2,2,desinflável,que pode ser desinflado,low_des,rev,desinflável,desinflar,-,inflar,ver,143,4.557381093,2.155336037,3.658715346,6,low,correct,first_round_retest,old_condition_filler,A,A1,1,2,,
